,Unnamed: 0,textnr,tokenindex,token,vader_score,vader_polarity
0,1,5,1,The,0.0,Neutral
1,2,5,2,Internet,0.0,Neutral
2,3,5,3,has,0.0,Neutral
3,4,5,4,made,0.0,Neutral
4,5,5,5,life,0.0,Neutral
5,6,5,6,a,0.0,Neutral
6,7,5,7,whole,0.0,Neutral
7,8,5,8,lot,0.0,Neutral
8,9,5,9,easier,0.4215,Positive
9,10,5,10,for,0.0,Neutral
10,11,5,11,many,0.0,Neutral
11,12,5,12,people,0.0,Neutral
12,13,5,13,but,0.0,Neutral
13,14,5,14,being,0.0,Neutral
14,15,5,15,online,0.0,Neutral
15,16,5,16,also,0.0,Neutral
16,17,5,17,brings,0.0,Neutral
17,18,5,18,with,0.0,Neutral
18,19,5,19,it,0.0,Neutral
19,20,5,20,very,0.0,Neutral
20,21,5,21,real,0.0,Neutral
21,22,5,22,risks,-0.2732,Negative
22,23,5,23,Hackers,0.0,Neutral
23,24,5,24,can,0.0,Neutral
24,25,5,25,steal,-0.4939,Negative
25,26,5,26,personal,0.0,Neutral
26,27,5,27,and,0.0,Neutral
27,28,5,28,financial,0.0,Neutral
28,29,5,29,information,0.0,Neutral
29,30,5,30,There,0.0,Neutral
30,31,5,31,are,0.0,Neutral
31,32,5,32,several,0.0,Neutral
32,33,5,33,precautions,0.0,Neutral
33,34,5,34,that,0.0,Neutral
34,35,5,35,computer,0.0,Neutral
35,36,5,36,users,0.0,Neutral
36,37,5,37,can,0.0,Neutral
37,38,5,38,take,0.0,Neutral
38,39,5,39,to,0.0,Neutral
39,40,5,40,minimize,0.0,Neutral
40,41,5,41,the,0.0,Neutral
41,42,5,42,level,0.0,Neutral
42,43,5,43,of,0.0,Neutral
43,44,5,44,risk,-0.2732,Negative
44,45,5,45,that,0.0,Neutral
45,46,5,46,is,0.0,Neutral
46,47,5,47,involved,0.0,Neutral
47,48,5,48,with,0.0,Neutral
48,49,5,49,being,0.0,Neutral
49,50,5,50,online,0.0,Neutral
50,51,5,51,One,0.0,Neutral
51,52,5,52,of,0.0,Neutral
52,53,5,53,the,0.0,Neutral
53,54,5,54,most,0.0,Neutral
54,55,5,55,obvious,0.0,Neutral
55,56,5,56,safety,0.4215,Positive
56,57,5,57,precautions,0.0,Neutral
57,58,5,58,is,0.0,Neutral
58,59,5,59,to,0.0,Neutral
59,60,5,60,purchase,0.0,Neutral
60,61,5,61,a,0.0,Neutral
61,62,5,62,good,0.4404,Positive
62,63,5,63,anti,-0.3182,Negative
63,64,5,64,virus,0.0,Neutral
64,65,5,65,and,0.0,Neutral
65,66,5,66,anti,-0.3182,Negative
66,67,5,67,spyware,0.0,Neutral
67,68,5,68,program,0.0,Neutral
68,69,5,69,Passwords,0.0,Neutral
69,70,5,70,are,0.0,Neutral
70,71,5,71,also,0.0,Neutral
71,72,5,72,a,0.0,Neutral
72,73,5,73,very,0.0,Neutral
73,74,5,74,important,0.2023,Positive
74,75,5,75,part,0.0,Neutral
75,76,5,76,of,0.0,Neutral
76,77,5,77,online,0.0,Neutral
77,78,5,78,security,0.34,Positive
78,79,5,79,and,0.0,Neutral
79,80,5,80,several,0.0,Neutral
80,81,5,81,tips,0.0,Neutral
81,82,5,82,can,0.0,Neutral
82,83,5,83,help,0.4019,Positive
83,84,5,84,users,0.0,Neutral
84,85,5,85,create,0.2732,Positive
85,86,5,86,more,0.0,Neutral
86,87,5,87,secure,0.34,Positive
87,88,5,88,passwords,0.0,Neutral
88,89,5,89,First,0.0,Neutral
89,90,5,90,they,0.0,Neutral
90,91,5,91,should,0.0,Neutral
91,92,5,92,be,0.0,Neutral
92,93,5,93,something,0.0,Neutral
93,94,5,94,that,0.0,Neutral
94,95,5,95,can,0.0,Neutral
95,96,5,96,easily,0.34,Positive
96,97,5,97,be,0.0,Neutral
97,98,5,98,remembered,0.0,Neutral
98,99,5,99,but,0.0,Neutral
99,100,5,100,they,0.0,Neutral
100,101,5,101,should,0.0,Neutral
101,102,5,102,not,0.0,Neutral
102,103,5,103,be,0.0,Neutral
103,104,5,104,something,0.0,Neutral
104,105,5,105,others,0.0,Neutral
105,106,5,106,can,0.0,Neutral
106,107,5,107,guess,0.0,Neutral
107,108,5,108,easily,0.34,Positive
108,109,5,109,Your,0.0,Neutral
109,110,5,110,first,0.0,Neutral
110,111,5,111,or,0.0,Neutral
111,112,5,112,last,0.0,Neutral
112,113,5,113,name,0.0,Neutral
113,114,5,114,phone,0.0,Neutral
114,115,5,115,number,0.0772,Positive
115,116,5,116,or,0.0,Neutral
116,117,5,117,the,0.0,Neutral
117,118,5,118,name,0.0,Neutral
118,119,5,119,of,0.0,Neutral
119,120,5,120,your,0.0,Neutral
120,121,5,121,street,0.0,Neutral
121,122,5,122,are,0.0,Neutral
122,123,5,123,all,0.0,Neutral
123,124,5,124,bad,-0.5423,Negative
124,125,5,125,choices,0.0,Neutral
125,126,5,126,as,0.0,Neutral
126,127,5,127,people,0.0,Neutral
127,128,5,128,could,0.0,Neutral
128,129,5,129,learn,0.0,Neutral
129,130,5,130,this,0.0,Neutral
130,131,5,131,information,0.0,Neutral
131,132,5,132,quite,0.0,Neutral
132,133,5,133,easily,0.34,Positive
133,134,5,134,Longer,0.0,Neutral
134,135,5,135,passwords,0.0,Neutral
135,136,5,136,are,0.0,Neutral
136,137,5,137,more,0.0,Neutral
137,138,5,138,secure,0.34,Positive
138,139,5,139,and,0.0,Neutral
139,140,5,140,those,0.0,Neutral
140,141,5,141,that,0.0,Neutral
141,142,5,142,use,0.0,Neutral
142,143,5,143,a,0.0,Neutral
143,144,5,144,mixture,0.0,Neutral
144,145,5,145,of,0.0,Neutral
145,146,5,146,upper,0.0,Neutral
146,147,5,147,and,0.0,Neutral
147,148,5,148,lower,-0.296,Negative
148,149,5,149,case,0.0,Neutral
149,150,5,150,letters,0.0,Neutral
150,151,5,151,and,0.0,Neutral
151,152,5,152,a,0.0,Neutral
152,153,5,153,combination,0.0,Neutral
153,154,5,154,of,0.0,Neutral
154,155,5,155,letters,0.0,Neutral
155,156,5,156,and,0.0,Neutral
156,157,5,157,numbers,0.0,Neutral
157,158,5,158,are,0.0,Neutral
158,159,5,159,more,0.0,Neutral
159,160,5,160,secure,0.34,Positive
160,161,5,161,than,0.0,Neutral
161,162,5,162,those,0.0,Neutral
162,163,5,163,that,0.0,Neutral
163,164,5,164,do,0.0,Neutral
164,165,5,165,not,0.0,Neutral
165,166,5,166,Finally,0.0,Neutral
166,167,5,167,passwords,0.0,Neutral
167,168,5,168,should,0.0,Neutral
168,169,5,169,be,0.0,Neutral
169,170,5,170,changed,0.0,Neutral
170,171,5,171,often,0.0,Neutral
171,172,5,172,This,0.0,Neutral
172,173,5,173,can,0.0,Neutral
173,174,5,174,make,0.0,Neutral
174,175,5,175,remembering,0.0,Neutral
175,176,5,176,them,0.0,Neutral
176,177,5,177,more,0.0,Neutral
177,178,5,178,difficult,-0.3612,Negative
178,179,5,179,but,0.0,Neutral
179,180,5,180,the,0.0,Neutral
180,181,5,181,extra,0.0,Neutral
181,182,5,182,effort,0.0,Neutral
182,183,5,183,is,0.0,Neutral
183,184,5,184,worth,0.2263,Positive
184,185,5,185,the,0.0,Neutral
185,186,5,186,added,0.0,Neutral
186,187,5,187,security,0.34,Positive
