,Unnamed: 0,textnr,tokenindex,token,vader_score,vader_polarity
0,1,12,1,Technology,0.0,Neutral
1,2,12,2,is,0.0,Neutral
2,3,12,3,rapidly,0.0,Neutral
3,4,12,4,expanding,0.0,Neutral
4,5,12,5,the,0.0,Neutral
5,6,12,6,scope,0.0,Neutral
6,7,12,7,of,0.0,Neutral
7,8,12,8,capabilities,0.0,Neutral
8,9,12,9,for,0.0,Neutral
9,10,12,10,both,0.0,Neutral
10,11,12,11,professional,0.0,Neutral
11,12,12,12,and,0.0,Neutral
12,13,12,13,personal,0.0,Neutral
13,14,12,14,use;,0.0,Neutral
14,15,12,15,such,0.0,Neutral
15,16,12,16,is,0.0,Neutral
16,17,12,17,the,0.0,Neutral
17,18,12,18,case,0.0,Neutral
18,19,12,19,with,0.0,Neutral
19,20,12,20,smart,0.4019,Positive
20,21,12,21,phones.,0.0,Neutral
21,22,12,22,Professionals,0.0,Neutral
22,23,12,23,now,0.0,Neutral
23,24,12,24,have,0.0,Neutral
24,25,12,25,mobile,0.0,Neutral
25,26,12,26,devices,0.0,Neutral
26,27,12,27,available,0.0,Neutral
27,28,12,28,to,0.0,Neutral
28,29,12,29,them,0.0,Neutral
29,30,12,30,capable,0.3818,Positive
30,31,12,31,of,0.0,Neutral
31,32,12,32,digital,0.0,Neutral
32,33,12,33,"media,",0.0,Neutral
33,34,12,34,internet,0.0,Neutral
34,35,12,35,"access,",0.0,Neutral
35,36,12,36,phone,0.0,Neutral
36,37,12,37,"communication,",0.0,Neutral
37,38,12,38,multi-,0.0,Neutral
38,39,12,39,person,0.0,Neutral
39,40,12,40,scheduling,0.0,Neutral
40,41,12,41,and,0.0,Neutral
41,42,12,42,office,0.0,Neutral
42,43,12,43,tools,0.0,Neutral
43,44,12,44,for,0.0,Neutral
44,45,12,45,documents,0.0,Neutral
45,46,12,46,and,0.0,Neutral
46,47,12,47,presentations.,0.0,Neutral
47,48,12,48,Businesspeople,0.0,Neutral
48,49,12,49,that,0.0,Neutral
49,50,12,50,are,0.0,Neutral
50,51,12,51,often,0.0,Neutral
51,52,12,52,mobile,0.0,Neutral
52,53,12,53,may,0.0,Neutral
53,54,12,54,maximize,0.0,Neutral
54,55,12,55,the,0.0,Neutral
55,56,12,56,use,0.0,Neutral
