"","textnr","tokenindex","token"
"1","4",1,"Howard"
"2","4",2,"Gardner"
"3","4",3,"was"
"4","4",4,"a"
"5","4",5,"psychologist"
"6","4",6,"best"
"7","4",7,"known"
"8","4",8,"for"
"9","4",9,"developing"
"10","4",10,"the"
"11","4",11,"theory"
"12","4",12,"of"
"13","4",13,"multiple"
"14","4",14,"intelligences"
"15","4",15,"Basically"
"16","4",16,"the"
"17","4",17,"theory"
"18","4",18,"states"
"19","4",19,"that"
"20","4",20,"the"
"21","4",21,"idea"
"22","4",22,"of"
"23","4",23,"general"
"24","4",24,"intelligence"
"25","4",25,"or"
"26","4",26,"overall"
"27","4",27,"intelligence"
"28","4",28,"is"
"29","4",29,"somewhat"
"30","4",30,"inaccurate"
"31","4",31,"This"
"32","4",32,"is"
"33","4",33,"because"
"34","4",34,"people"
"35","4",35,"often"
"36","4",36,"show"
"37","4",37,"intelligence"
"38","4",38,"in"
"39","4",39,"different"
"40","4",40,"areas"
"41","4",41,"He"
"42","4",42,"argued"
"43","4",43,"that"
"44","4",44,"there"
"45","4",45,"are"
"46","4",46,"actually"
"47","4",47,"different"
"48","4",48,"types"
"49","4",49,"of"
"50","4",50,"intelligence"
"51","4",51,"One"
"52","4",52,"type"
"53","4",53,"of"
"54","4",54,"intelligence"
"55","4",55,"that"
"56","4",56,"Gardner"
"57","4",57,"identified"
"58","4",58,"was"
"59","4",59,"interpersonal"
"60","4",60,"intelligence"
"61","4",61,"People"
"62","4",62,"who"
"63","4",63,"possess"
"64","4",64,"this"
"65","4",65,"type"
"66","4",66,"of"
"67","4",67,"intelligence"
"68","4",68,"relate"
"69","4",69,"and"
"70","4",70,"interact"
"71","4",71,"well"
"72","4",72,"with"
"73","4",73,"others"
"74","4",74,"Intrapersonal"
"75","4",75,"intelligence"
"76","4",76,"on"
"77","4",77,"the"
"78","4",78,"other"
"79","4",79,"hand"
"80","4",80,"implies"
"81","4",81,"that"
"82","4",82,"people"
"83","4",83,"are"
"84","4",84,"in"
"85","4",85,"touch"
"86","4",86,"with"
"87","4",87,"their"
"88","4",88,"own"
"89","4",89,"feelings"
"90","4",90,"They"
"91","4",91,"enjoy"
"92","4",92,"thinking"
"93","4",93,"about"
"94","4",94,"theories"
"95","4",95,"and"
"96","4",96,"developing"
"97","4",97,"their"
"98","4",98,"own"
"99","4",99,"thoughts"
"100","4",100,"and"
"101","4",101,"ideas"
"102","4",102,"People"
"103","4",103,"who"
"104","4",104,"have"
"105","4",105,"linguistic"
"106","4",106,"intelligence"
"107","4",107,"learn"
"108","4",108,"best"
"109","4",109,"by"
"110","4",110,"taking"
"111","4",111,"notes"
"112","4",112,"and"
"113","4",113,"reading"
"114","4",114,"textbooks"
"115","4",115,"These"
"116","4",116,"people"
"117","4",117,"usually"
"118","4",118,"excel"
"119","4",119,"in"
"120","4",120,"traditional"
"121","4",121,"academic"
"122","4",122,"environments"
"123","4",123,"as"
"124","4",124,"many"
"125","4",125,"academic"
"126","4",126,"subjects"
"127","4",127,"stress"
"128","4",128,"these"
"129","4",129,"types"
"130","4",130,"of"
"131","4",131,"activities"
"132","4",132,"The"
"133","4",133,"other"
"134","4",134,"types"
"135","4",135,"of"
"136","4",136,"intelligence"
"137","4",137,"are"
"138","4",138,"kinesthetic"
"139","4",139,"musical"
"140","4",140,"spatial"
"141","4",141,"and"
"142","4",142,"logical"
