,Unnamed: 0,textnr,tokenindex,token,polarity_score,sentiment
0,1,10,1,When,0.0,Neutral
1,2,10,2,online,0.0,Neutral
2,3,10,3,file-,0.0,Neutral
3,4,10,4,sharing,0.4215,Positive
4,5,10,5,programs,0.0,Neutral
5,6,10,6,"emerged,",0.0,Neutral
6,7,10,7,the,0.0,Neutral
7,8,10,8,music,0.0,Neutral
8,9,10,9,industry,0.0,Neutral
9,10,10,10,changed,0.0,Neutral
10,11,10,11,forever.,0.0,Neutral
11,12,10,12,Perhaps,0.0,Neutral
12,13,10,13,the,0.0,Neutral
13,14,10,14,first,0.0,Neutral
14,15,10,15,widely-,0.0,Neutral
15,16,10,16,used,0.0,Neutral
16,17,10,17,music,0.0,Neutral
17,18,10,18,file,0.0,Neutral
18,19,10,19,sharing,0.4215,Positive
19,20,10,20,program,0.0,Neutral
20,21,10,21,was,0.0,Neutral
21,22,10,22,Napster.,0.0,Neutral
22,23,10,23,It,0.0,Neutral
23,24,10,24,allowed,0.0,Neutral
24,25,10,25,users,0.0,Neutral
25,26,10,26,to,0.0,Neutral
26,27,10,27,sign,0.0,Neutral
27,28,10,28,up,0.0,Neutral
28,29,10,29,to,0.0,Neutral
29,30,10,30,use,0.0,Neutral
30,31,10,31,the,0.0,Neutral
31,32,10,32,service,0.0,Neutral
32,33,10,33,at,0.0,Neutral
33,34,10,34,no,-0.296,Negative
34,35,10,35,charge.,0.0,Neutral
35,36,10,36,"Then,",0.0,Neutral
36,37,10,37,they,0.0,Neutral
37,38,10,38,could,0.0,Neutral
38,39,10,39,download,0.0,Neutral
39,40,10,40,music,0.0,Neutral
40,41,10,41,files,0.0,Neutral
41,42,10,42,from,0.0,Neutral
42,43,10,43,other,0.0,Neutral
43,44,10,44,users,0.0,Neutral
44,45,10,45,all,0.0,Neutral
45,46,10,46,over,0.0,Neutral
46,47,10,47,the,0.0,Neutral
47,48,10,48,world,0.0,Neutral
48,49,10,49,by,0.0,Neutral
49,50,10,50,simply,0.0,Neutral
50,51,10,51,typing,0.0,Neutral
51,52,10,52,in,0.0,Neutral
52,53,10,53,what,0.0,Neutral
53,54,10,54,song,0.0,Neutral
54,55,10,55,or,0.0,Neutral
55,56,10,56,album,0.0,Neutral
56,57,10,57,they,0.0,Neutral
57,58,10,58,wanted.,0.0,Neutral
58,59,10,59,"Obviously,",0.0,Neutral
59,60,10,60,this,0.0,Neutral
60,61,10,61,was,0.0,Neutral
61,62,10,62,bad,-0.5423,Negative
62,63,10,63,news,0.0,Neutral
63,64,10,64,for,0.0,Neutral
64,65,10,65,music,0.0,Neutral
65,66,10,66,artists,0.0,Neutral
66,67,10,67,and,0.0,Neutral
67,68,10,68,record,0.0,Neutral
68,69,10,69,labels,0.0,Neutral
69,70,10,70,because,0.0,Neutral
70,71,10,71,they,0.0,Neutral
71,72,10,72,were,0.0,Neutral
72,73,10,73,not,0.0,Neutral
73,74,10,74,making,0.0,Neutral
74,75,10,75,any,0.0,Neutral
75,76,10,76,profits,0.4404,Positive
76,77,10,77,from,0.0,Neutral
77,78,10,78,downloaded,0.0,Neutral
78,79,10,79,music.,0.0,Neutral
79,80,10,80,"Eventually,",0.0,Neutral
80,81,10,81,Napster,0.0,Neutral
81,82,10,82,was,0.0,Neutral
82,83,10,83,shut,0.0,Neutral
83,84,10,84,down.,0.0,Neutral
84,85,10,85,While,0.0,Neutral
85,86,10,86,it,0.0,Neutral
86,87,10,87,later,0.0,Neutral
87,88,10,88,reinvented,0.0,Neutral
88,89,10,89,itself,0.0,Neutral
89,90,10,90,as,0.0,Neutral
90,91,10,91,a,0.0,Neutral
91,92,10,92,paying,0.0,Neutral
92,93,10,93,"service,",0.0,Neutral
93,94,10,94,other,0.0,Neutral
94,95,10,95,free,0.5106,Positive
95,96,10,96,music-,0.0,Neutral
96,97,10,97,sharing,0.4215,Positive
97,98,10,98,sites,0.0,Neutral
98,99,10,99,cropped,0.0,Neutral
99,100,10,100,up,0.0,Neutral
100,101,10,101,almost,0.0,Neutral
101,102,10,102,immediately.,0.0,Neutral
102,103,10,103,Even,0.0,Neutral
103,104,10,104,though,0.0,Neutral
104,105,10,105,several,0.0,Neutral
105,106,10,106,sites,0.0,Neutral
106,107,10,107,and,0.0,Neutral
107,108,10,108,individual,0.0,Neutral
108,109,10,109,users,0.0,Neutral
109,110,10,110,have,0.0,Neutral
110,111,10,111,been,0.0,Neutral
111,112,10,112,"charged,",-0.2023,Negative
112,113,10,113,there,0.0,Neutral
113,114,10,114,are,0.0,Neutral
114,115,10,115,still,0.0,Neutral
115,116,10,116,countless,0.0,Neutral
116,117,10,117,individuals,0.0,Neutral
117,118,10,118,who,0.0,Neutral
118,119,10,119,log,0.0,Neutral
119,120,10,120,onto,0.0,Neutral
120,121,10,121,these,0.0,Neutral
121,122,10,122,sites,0.0,Neutral
122,123,10,123,to,0.0,Neutral
123,124,10,124,obtain,0.0,Neutral
124,125,10,125,free,0.5106,Positive
125,126,10,126,music.,0.0,Neutral
