,Unnamed: 0,textnr,tokenindex,token,polarity_score,sentiment
0,1,9,1,At,0.0,Neutral
1,2,9,2,one,0.0,Neutral
2,3,9,3,"time,",0.0,Neutral
3,4,9,4,the,0.0,Neutral
4,5,9,5,use,0.0,Neutral
5,6,9,6,of,0.0,Neutral
6,7,9,7,leeches,0.0,Neutral
7,8,9,8,to,0.0,Neutral
8,9,9,9,treat,0.4019,Positive
9,10,9,10,medical,0.0,Neutral
10,11,9,11,problems,-0.4019,Negative
11,12,9,12,was,0.0,Neutral
12,13,9,13,quite,0.0,Neutral
13,14,9,14,common.,0.0,Neutral
14,15,9,15,If,0.0,Neutral
15,16,9,16,a,0.0,Neutral
16,17,9,17,person,0.0,Neutral
17,18,9,18,suffered,-0.4939,Negative
18,19,9,19,from,0.0,Neutral
19,20,9,20,a,0.0,Neutral
20,21,9,21,snake,0.0,Neutral
21,22,9,22,bite,0.0,Neutral
22,23,9,23,or,0.0,Neutral
23,24,9,24,a,0.0,Neutral
24,25,9,25,bee,0.0,Neutral
25,26,9,26,"sting,",0.0,Neutral
26,27,9,27,leeches,0.0,Neutral
27,28,9,28,were,0.0,Neutral
28,29,9,29,believed,0.0,Neutral
29,30,9,30,to,0.0,Neutral
30,31,9,31,be,0.0,Neutral
31,32,9,32,capable,0.3818,Positive
32,33,9,33,of,0.0,Neutral
33,34,9,34,removing,0.0,Neutral
34,35,9,35,the,0.0,Neutral
35,36,9,36,poison,-0.5423,Negative
36,37,9,37,from,0.0,Neutral
37,38,9,38,the,0.0,Neutral
38,39,9,39,body,0.0,Neutral
39,40,9,40,if,0.0,Neutral
40,41,9,41,they,0.0,Neutral
41,42,9,42,were,0.0,Neutral
42,43,9,43,placed,0.0,Neutral
43,44,9,44,on,0.0,Neutral
44,45,9,45,top,0.2023,Positive
45,46,9,46,of,0.0,Neutral
46,47,9,47,the,0.0,Neutral
47,48,9,48,wound.,0.0,Neutral
48,49,9,49,They,0.0,Neutral
49,50,9,50,have,0.0,Neutral
50,51,9,51,also,0.0,Neutral
51,52,9,52,been,0.0,Neutral
52,53,9,53,used,0.0,Neutral
53,54,9,54,for,0.0,Neutral
54,55,9,55,blood,0.0,Neutral
55,56,9,56,letting,0.0,Neutral
56,57,9,57,and,0.0,Neutral
57,58,9,58,to,0.0,Neutral
58,59,9,59,stop,-0.296,Negative
59,60,9,60,"hemorrhages,",0.0,Neutral
60,61,9,61,although,0.0,Neutral
61,62,9,62,neither,0.0,Neutral
62,63,9,63,of,0.0,Neutral
63,64,9,64,these,0.0,Neutral
64,65,9,65,leech,0.0,Neutral
65,66,9,66,treatments,0.0,Neutral
66,67,9,67,would,0.0,Neutral
67,68,9,68,be,0.0,Neutral
68,69,9,69,considered,0.0,Neutral
69,70,9,70,acceptable,0.3182,Positive
70,71,9,71,by,0.0,Neutral
71,72,9,72,present-,0.0,Neutral
72,73,9,73,day,0.0,Neutral
73,74,9,74,physicians.,0.0,Neutral
74,75,9,75,"Today,",0.0,Neutral
75,76,9,76,leeches,0.0,Neutral
76,77,9,77,are,0.0,Neutral
77,78,9,78,still,0.0,Neutral
78,79,9,79,used,0.0,Neutral
79,80,9,80,on,0.0,Neutral
80,81,9,81,a,0.0,Neutral
81,82,9,82,limited,-0.2263,Negative
82,83,9,83,basis.,0.0,Neutral
83,84,9,84,Most,0.0,Neutral
84,85,9,85,"often,",0.0,Neutral
85,86,9,86,leeches,0.0,Neutral
86,87,9,87,are,0.0,Neutral
87,88,9,88,used,0.0,Neutral
88,89,9,89,to,0.0,Neutral
89,90,9,90,drain,0.0,Neutral
90,91,9,91,blood,0.0,Neutral
91,92,9,92,from,0.0,Neutral
92,93,9,93,clogged,0.0,Neutral
93,94,9,94,veins.,0.0,Neutral
94,95,9,95,This,0.0,Neutral
95,96,9,96,results,0.0,Neutral
96,97,9,97,in,0.0,Neutral
97,98,9,98,little,0.0,Neutral
98,99,9,99,pain,-0.5106,Negative
99,100,9,100,for,0.0,Neutral
100,101,9,101,the,0.0,Neutral
101,102,9,102,patient,0.0,Neutral
102,103,9,103,and,0.0,Neutral
103,104,9,104,also,0.0,Neutral
104,105,9,105,ensures,0.0,Neutral
105,106,9,106,the,0.0,Neutral
106,107,9,107,patient's,0.0,Neutral
107,108,9,108,blood,0.0,Neutral
108,109,9,109,will,0.0,Neutral
109,110,9,110,not,0.0,Neutral
110,111,9,111,clot,0.0,Neutral
111,112,9,112,while,0.0,Neutral
112,113,9,113,it,0.0,Neutral
113,114,9,114,is,0.0,Neutral
114,115,9,115,being,0.0,Neutral
115,116,9,116,drained.,-0.3612,Negative
