"","textnr","tokenindex","token"
"1","2",1,"Leonardo"
"2","2",2,"da"
"3","2",3,"Vinci"
"4","2",4,"is"
"5","2",5,"not"
"6","2",6,"only"
"7","2",7,"one"
"8","2",8,"of"
"9","2",9,"the"
"10","2",10,"most"
"11","2",11,"famous"
"12","2",12,"artists"
"13","2",13,"in"
"14","2",14,"history"
"15","2",15,"but"
"16","2",16,"he"
"17","2",17,"was"
"18","2",18,"also"
"19","2",19,"a"
"20","2",20,"botanist"
"21","2",21,"a"
"22","2",22,"writer"
"23","2",23,"and"
"24","2",24,"an"
"25","2",25,"inventor"
"26","2",26,"Even"
"27","2",27,"though"
"28","2",28,"most"
"29","2",29,"of"
"30","2",30,"his"
"31","2",31,"inventions"
"32","2",32,"were"
"33","2",33,"not"
"34","2",34,"actually"
"35","2",35,"built"
"36","2",36,"in"
"37","2",37,"his"
"38","2",38,"lifetime"
"39","2",39,"many"
"40","2",40,"of"
"41","2",41,"today’s"
"42","2",42,"modern"
"43","2",43,"machines"
"44","2",44,"can"
"45","2",45,"be"
"46","2",46,"traced"
"47","2",47,"back"
"48","2",48,"to"
"49","2",49,"some"
"50","2",50,"of"
"51","2",51,"his"
"52","2",52,"original"
"53","2",53,"designs"
"54","2",54,"The"
"55","2",55,"parachute"
"56","2",56,"the"
"57","2",57,"military"
"58","2",58,"tank"
"59","2",59,"the"
"60","2",60,"bicycle"
"61","2",61,"and"
"62","2",62,"even"
"63","2",63,"the"
"64","2",64,"airplane"
"65","2",65,"were"
"66","2",66,"foretold"
"67","2",67,"in"
"68","2",68,"the"
"69","2",69,"imaginative"
"70","2",70,"drawings"
"71","2",71,"that"
"72","2",72,"can"
"73","2",73,"still"
"74","2",74,"be"
"75","2",75,"seen"
"76","2",76,"in"
"77","2",77,"the"
"78","2",78,"fragments"
"79","2",79,"of"
"80","2",80,"da"
"81","2",81,"Vinci’s"
"82","2",82,"notebooks"
"83","2",83,"Over"
"84","2",84,"five"
"85","2",85,"hundred"
"86","2",86,"years"
"87","2",87,"ago"
"88","2",88,"this"
"89","2",89,"man"
"90","2",90,"conceived"
"91","2",91,"ideas"
"92","2",92,"that"
"93","2",93,"were"
"94","2",94,"far"
"95","2",95,"ahead"
"96","2",96,"of"
"97","2",97,"his"
"98","2",98,"time"
